candidate_id,rank,score,reasoning
CAND_0024147,17,0.7500,"ML Engineer with 5.9 years of experience based in Jaipur, Rajasthan. Demonstrates strong production skills in OpenSearch. High availability with a recruiter response rate of 84%."
CAND_0028422,18,0.7500,"Junior ML Engineer with 5.5 years of experience based in Chennai, Tamil Nadu. Demonstrates strong production skills in pgvector, OpenSearch. High availability with a recruiter response rate of 76%."
CAND_0042506,19,0.7500,"Search Engineer with 4.2 years of experience based in Mumbai, Maharashtra. Demonstrates strong production skills in Semantic Search, Fine-tuning LLMs. High availability with a recruiter response rate of 48%."
CAND_0088025,20,0.7500,"Staff Machine Learning Engineer with 8.6 years of experience based in Jaipur, Rajasthan. Demonstrates strong production skills in LLMs, Hugging Face Transformers. High availability with a recruiter response rate of 83%."
CAND_0005193,21,0.7400,"Senior Software Engineer with 6.2 years of experience based in Hyderabad, Telangana. Demonstrates strong production skills in OpenSearch. High availability with a recruiter response rate of 82%."
CAND_0015493,22,0.7400,"Data Scientist with 6.4 years of experience based in Vizag, Andhra Pradesh. Demonstrates strong production skills in Semantic Search, NLP. High availability with a recruiter response rate of 30%."
CAND_0037566,23,0.7400,"Machine Learning Engineer with 6.9 years of experience based in Bangalore, Karnataka. Demonstrates strong production skills in NLP, LLMs. High availability with a recruiter response rate of 50%."
CAND_0042359,24,0.7400,"Data Scientist with 6.9 years of experience based in Trivandrum, Kerala. Demonstrates strong production skills in Elasticsearch, OpenSearch. High availability with a recruiter response rate of 76%."
CAND_0047276,25,0.7400,"Backend Engineer with 5.5 years of experience based in Coimbatore, Tamil Nadu. Demonstrates strong production skills in Fine-tuning LLMs, pgvector. High availability with a recruiter response rate of 32%."
CAND_0049978,26,0.7400,"Senior Software Engineer (ML) with 6.6 years of experience based in Trivandrum, Kerala. Demonstrates strong production skills in Hugging Face Transformers, Embeddings. High availability with a recruiter response rate of 71%."
CAND_0013536,27,0.7300,"Applied ML Engineer with 14.1 years of experience based in Trivandrum, Kerala. Demonstrates strong production skills in LLMs, NLP. High availability with a recruiter response rate of 87%."
CAND_0018499,28,0.7300,"Senior Machine Learning Engineer with 7.2 years of experience based in Noida, Uttar Pradesh. Demonstrates strong production skills in Information Retrieval, Embeddings. High availability with a recruiter response rate of 61%."
CAND_0018888,29,0.7300,"AI Research Engineer with 6.5 years of experience based in Noida, Uttar Pradesh. Demonstrates strong production skills in Information Retrieval, pgvector. High availability with a recruiter response rate of 55%."
CAND_0081053,30,0.7300,"NLP Engineer with 5.4 years of experience based in Chandigarh, Chandigarh. Demonstrates strong production skills in pgvector, Semantic Search. High availability with a recruiter response rate of 83%."
CAND_0081958,31,0.7300,"Backend Engineer with 5.2 years of experience based in Bhubaneswar, Odisha. Demonstrates strong production skills in Elasticsearch. High availability with a recruiter response rate of 73%."
CAND_0022274,32,0.7200,"AI Research Engineer with 4.5 years of experience based in Bhubaneswar, Odisha. Demonstrates strong production skills in pgvector, Fine-tuning LLMs. High availability with a recruiter response rate of 44%."
CAND_0024170,33,0.7200,"Junior ML Engineer with 3.3 years of experience based in Gurgaon, Haryana. Demonstrates strong production skills in Semantic Search, Fine-tuning LLMs. High availability with a recruiter response rate of 53%."
CAND_0037000,34,0.7200,"Search Engineer with 2.7 years of experience based in Noida, Uttar Pradesh. Demonstrates strong production skills in Embeddings, Semantic Search. High availability with a recruiter response rate of 61%."
CAND_0074731,35,0.7200,"Data Scientist with 6.6 years of experience based in Chennai, Tamil Nadu. Demonstrates strong production skills in Hugging Face Transformers, OpenSearch. High availability with a recruiter response rate of 58%."
CAND_0076482,36,0.7200,"ML Engineer with 6.6 years of experience based in Austin. Demonstrates strong production skills in OpenSearch, pgvector. High availability with a recruiter response rate of 86%."
CAND_0037944,37,0.7100,"Senior Data Scientist with 4.9 years of experience based in Jaipur, Rajasthan. Demonstrates strong production skills in Vector Search, OpenSearch. High availability with a recruiter response rate of 42%."
CAND_0054546,38,0.7100,"AI Research Engineer with 4.9 years of experience based in Pune, Maharashtra. Demonstrates strong production skills in Hugging Face Transformers. High availability with a recruiter response rate of 92%."
CAND_0074225,39,0.7100,"Machine Learning Engineer with 4.3 years of experience based in Vizag, Andhra Pradesh. Demonstrates strong production skills in Semantic Search, Elasticsearch. High availability with a recruiter response rate of 91%."
CAND_0084819,40,0.7100,"Search Engineer with 4.5 years of experience based in Indore, Madhya Pradesh. Demonstrates strong production skills in Semantic Search, OpenSearch. High availability with a recruiter response rate of 74%."
CAND_0012957,41,0.7000,"Search Engineer with 4.9 years of experience based in Chennai, Tamil Nadu. Demonstrates strong production skills in Embeddings, Fine-tuning LLMs. High availability with a recruiter response rate of 67%."
CAND_0086022,42,0.7000,"Senior Applied Scientist with 5.3 years of experience based in Kolkata, West Bengal. Demonstrates strong production skills in Vector Search, pgvector. High availability with a recruiter response rate of 55%."
CAND_0016163,43,0.6900,"Applied ML Engineer with 6.7 years of experience based in Gurgaon, Haryana. Demonstrates strong production skills in Hugging Face Transformers, Embeddings. High availability with a recruiter response rate of 72%."
CAND_0006418,44,0.6800,"Machine Learning Engineer with 5.7 years of experience based in Gurgaon, Haryana. Demonstrates strong production skills in Semantic Search, Embeddings. High availability with a recruiter response rate of 92%."
CAND_0082086,45,0.6800,"Senior Software Engineer (ML) with 6.0 years of experience based in Delhi, Delhi. Showcases strong backend/ML fundamentals matching the AI shipper profile. High availability with a recruiter response rate of 85%."
CAND_0017771,46,0.6700,"Senior Software Engineer with 7.8 years of experience based in Noida, Uttar Pradesh. Demonstrates strong production skills in Information Retrieval. High availability with a recruiter response rate of 30%."
CAND_0062561,47,0.6700,"ML Engineer with 5.9 years of experience based in Bhubaneswar, Odisha. Demonstrates strong production skills in Information Retrieval. High availability with a recruiter response rate of 36%."
CAND_0062596,48,0.6700,Software Engineer with 8.5 years of experience based in Dubai. Demonstrates strong production skills in Vector Search. High availability with a recruiter response rate of 80%.
CAND_0017288,49,0.6600,"Software Engineer with 7.0 years of experience based in Jaipur, Rajasthan. Demonstrates strong production skills in Elasticsearch. High availability with a recruiter response rate of 54%."
CAND_0020494,50,0.6600,"AI Research Engineer with 5.9 years of experience based in Noida, Uttar Pradesh. Demonstrates strong production skills in Embeddings. High availability with a recruiter response rate of 26%."
CAND_0024990,51,0.6600,"Junior ML Engineer with 5.2 years of experience based in Trivandrum, Kerala. Demonstrates strong production skills in OpenSearch, NLP. High availability with a recruiter response rate of 83%."
CAND_0040310,52,0.6600,"AI Research Engineer with 4.8 years of experience based in Vizag, Andhra Pradesh. Demonstrates strong production skills in Elasticsearch, Fine-tuning LLMs. High availability with a recruiter response rate of 58%."
CAND_0059075,53,0.6600,"Software Engineer with 4.1 years of experience based in Delhi, Delhi. Demonstrates strong production skills in OpenSearch. High availability with a recruiter response rate of 78%."
CAND_0090155,54,0.6600,"ML Engineer with 5.8 years of experience based in Pune, Maharashtra. Showcases strong backend/ML fundamentals matching the AI shipper profile. High availability with a recruiter response rate of 64%."
CAND_0094165,55,0.6600,"AI Research Engineer with 5.8 years of experience based in Chandigarh, Chandigarh. Demonstrates strong production skills in pgvector, Semantic Search. High availability with a recruiter response rate of 78%."
CAND_0094197,56,0.6600,"Software Engineer with 6.6 years of experience based in Hyderabad, Telangana. Showcases strong backend/ML fundamentals matching the AI shipper profile. High availability with a recruiter response rate of 64%."
CAND_0009712,57,0.6500,Full Stack Developer with 4.2 years of experience based in Seattle. Demonstrates strong production skills in Elasticsearch. High availability with a recruiter response rate of 49%.
CAND_0091580,58,0.6500,"Data Scientist with 5.5 years of experience based in Noida, Uttar Pradesh. Demonstrates strong production skills in NLP. High availability with a recruiter response rate of 25%."
CAND_0093547,59,0.6500,"Senior Machine Learning Engineer with 2.9 years of experience based in Coimbatore, Tamil Nadu. Demonstrates strong production skills in LLMs, Information Retrieval. High availability with a recruiter response rate of 75%."
CAND_0000859,60,0.6400,"Senior Software Engineer with 5.9 years of experience based in Delhi, Delhi. Demonstrates strong production skills in Semantic Search. High availability with a recruiter response rate of 77%."
CAND_0029614,61,0.6400,"Backend Engineer with 5.3 years of experience based in Gurgaon, Haryana. Showcases strong backend/ML fundamentals matching the AI shipper profile. High availability with a recruiter response rate of 45%."
CAND_0072547,62,0.6400,"Senior Software Engineer (ML) with 5.1 years of experience based in Kolkata, West Bengal. Demonstrates strong production skills in Embeddings, NLP. High availability with a recruiter response rate of 81%."
CAND_0081852,63,0.6400,"Senior Data Scientist with 5.9 years of experience based in Delhi, Delhi. Demonstrates strong production skills in Semantic Search, pgvector. High availability with a recruiter response rate of 44%."
CAND_0098952,64,0.6400,"AI Research Engineer with 5.5 years of experience based in Gurgaon, Haryana. Demonstrates strong production skills in OpenSearch, Semantic Search. High availability with a recruiter response rate of 66%."
CAND_0001131,65,0.6300,"ML Engineer with 5.8 years of experience based in Chennai, Tamil Nadu. Demonstrates strong production skills in Semantic Search, Vector Search. High availability with a recruiter response rate of 58%."
CAND_0028287,66,0.6300,"Data Scientist with 5.7 years of experience based in Vizag, Andhra Pradesh. Demonstrates strong production skills in OpenSearch, Vector Search. High availability with a recruiter response rate of 60%."
CAND_0079064,67,0.6300,"Senior Data Scientist with 5.2 years of experience based in Noida, Uttar Pradesh. Demonstrates strong production skills in OpenSearch, NLP. High availability with a recruiter response rate of 91%."
CAND_0010408,68,0.6200,"Junior ML Engineer with 5.7 years of experience based in Coimbatore, Tamil Nadu. Demonstrates strong production skills in Hugging Face Transformers. High availability with a recruiter response rate of 36%."
CAND_0036121,69,0.6200,"ML Engineer with 5.2 years of experience based in Chennai, Tamil Nadu. Demonstrates strong production skills in Embeddings, Vector Search. High availability with a recruiter response rate of 49%."
CAND_0036184,70,0.6200,"Recommendation Systems Engineer with 6.0 years of experience based in Trivandrum, Kerala. Demonstrates strong production skills in Hugging Face Transformers, Semantic Search. High availability with a recruiter response rate of 90%."
CAND_0045994,71,0.6200,Backend Engineer with 5.7 years of experience based in Seattle. Showcases strong backend/ML fundamentals matching the AI shipper profile. High availability with a recruiter response rate of 44%.
CAND_0051292,72,0.6200,"Applied ML Engineer with 5.2 years of experience based in Trivandrum, Kerala. Demonstrates strong production skills in pgvector, LLMs. High availability with a recruiter response rate of 52%."
CAND_0051630,73,0.6200,"Machine Learning Engineer with 6.0 years of experience based in Kolkata, West Bengal. Demonstrates strong production skills in Elasticsearch, Hugging Face Transformers. High availability with a recruiter response rate of 51%."
CAND_0073314,74,0.6200,"Senior Software Engineer (ML) with 5.2 years of experience based in Noida, Uttar Pradesh. Demonstrates strong production skills in Elasticsearch. High availability with a recruiter response rate of 84%."
CAND_0076163,75,0.6200,"NLP Engineer with 6.9 years of experience based in Chandigarh, Chandigarh. Demonstrates strong production skills in Semantic Search, Sentence Transformers. High availability with a recruiter response rate of 84%."
CAND_0093912,76,0.6200,"Senior Data Scientist with 5.3 years of experience based in Chandigarh, Chandigarh. Demonstrates strong production skills in Embeddings, Vector Search. High availability with a recruiter response rate of 66%."
CAND_0026942,77,0.6100,"Junior ML Engineer with 6.0 years of experience based in Chandigarh, Chandigarh. Demonstrates strong production skills in Information Retrieval. High availability with a recruiter response rate of 84%."
CAND_0042029,78,0.6100,"Senior Data Scientist with 6.5 years of experience based in Delhi, Delhi. Demonstrates strong production skills in NLP, Elasticsearch. High availability with a recruiter response rate of 67%."
CAND_0049615,79,0.6100,"ML Engineer with 5.1 years of experience based in Indore, Madhya Pradesh. Demonstrates strong production skills in NLP. High availability with a recruiter response rate of 28%."
CAND_0054100,80,0.6100,"Junior ML Engineer with 6.0 years of experience based in Kolkata, West Bengal. Demonstrates strong production skills in Vector Search, Semantic Search. High availability with a recruiter response rate of 79%."
CAND_0064326,81,0.6100,"Search Engineer with 7.6 years of experience based in Gurgaon, Haryana. Demonstrates strong production skills in Semantic Search. High availability with a recruiter response rate of 94%."
CAND_0067091,82,0.6100,"Senior Software Engineer (ML) with 4.8 years of experience based in Mumbai, Maharashtra. Demonstrates strong production skills in Elasticsearch, NLP. High availability with a recruiter response rate of 55%."
CAND_0080534,83,0.6100,"ML Engineer with 3.8 years of experience based in Vizag, Andhra Pradesh. Demonstrates strong production skills in Elasticsearch, OpenSearch. High availability with a recruiter response rate of 91%."
CAND_0087630,84,0.6100,"AI Engineer with 7.2 years of experience based in Gurgaon, Haryana. Demonstrates strong production skills in Elasticsearch, pgvector. High availability with a recruiter response rate of 45%."
CAND_0008049,85,0.6000,"ML Engineer with 6.3 years of experience based in Pune, Maharashtra. Demonstrates strong production skills in Sentence Transformers. High availability with a recruiter response rate of 43%."
CAND_0014087,86,0.6000,"Backend Engineer with 5.6 years of experience based in Delhi, Delhi. Demonstrates strong production skills in Embeddings. High availability with a recruiter response rate of 79%."
CAND_0018564,87,0.6000,"Software Engineer with 5.4 years of experience based in Gurgaon, Haryana. Demonstrates strong production skills in Elasticsearch. High availability with a recruiter response rate of 82%."
CAND_0036437,88,0.6000,"Search Engineer with 4.8 years of experience based in Kolkata, West Bengal. Demonstrates strong production skills in OpenSearch, Elasticsearch. High availability with a recruiter response rate of 87%."
CAND_0068985,89,0.6000,"Senior Software Engineer (ML) with 5.2 years of experience based in New York. Demonstrates strong production skills in Hugging Face Transformers, Semantic Search. High availability with a recruiter response rate of 88%."
CAND_0018539,90,0.5900,"Software Engineer with 7.6 years of experience based in Mumbai, Maharashtra. Showcases strong backend/ML fundamentals matching the AI shipper profile. High availability with a recruiter response rate of 65%."
CAND_0018722,91,0.5900,"Recommendation Systems Engineer with 6.6 years of experience based in Toronto. Demonstrates strong production skills in LLMs, Hugging Face Transformers. High availability with a recruiter response rate of 79%."
CAND_0041669,92,0.5900,"Recommendation Systems Engineer with 8.0 years of experience based in Noida, Uttar Pradesh. Demonstrates strong production skills in Semantic Search, Information Retrieval. High availability with a recruiter response rate of 77%."
CAND_0045887,93,0.5900,"Data Scientist with 3.0 years of experience based in Chennai, Tamil Nadu. Demonstrates strong production skills in Fine-tuning LLMs, Embeddings. High availability with a recruiter response rate of 86%."
CAND_0046525,94,0.5900,"Senior Machine Learning Engineer with 6.1 years of experience based in Pune, Maharashtra. Demonstrates strong production skills in Elasticsearch, Information Retrieval. High availability with a recruiter response rate of 88%."
CAND_0049543,95,0.5900,"ML Engineer with 6.1 years of experience based in Kolkata, West Bengal. Demonstrates strong production skills in Semantic Search, Information Retrieval. High availability with a recruiter response rate of 57%."
CAND_0062413,96,0.5900,"AI Research Engineer with 6.6 years of experience based in Mumbai, Maharashtra. Demonstrates strong production skills in Semantic Search, OpenSearch. High availability with a recruiter response rate of 71%."
CAND_0074735,97,0.5900,"Applied ML Engineer with 5.5 years of experience based in Chandigarh, Chandigarh. Demonstrates strong production skills in Information Retrieval, Semantic Search. High availability with a recruiter response rate of 77%."
CAND_0080051,98,0.5900,"Data Scientist with 5.2 years of experience based in Gurgaon, Haryana. Demonstrates strong production skills in NLP, Information Retrieval. High availability with a recruiter response rate of 54%."
CAND_0091745,99,0.5900,"Junior ML Engineer with 5.9 years of experience based in Pune, Maharashtra. Demonstrates strong production skills in Embeddings, Fine-tuning LLMs. High availability with a recruiter response rate of 53%."
CAND_0091909,100,0.5900,"Machine Learning Engineer with 6.9 years of experience based in Bangalore, Karnataka. Demonstrates strong production skills in LLMs, OpenSearch. High availability with a recruiter response rate of 65%."
